site,sigma_threshold,site_identifier,pct_zeroed,top1_accuracy,top5_accuracy,baseline_top1,baseline_top5,seed,is_random,granularity,ablation_mode,cls_entropy,patch_entropy,baseline_cls_entropy,baseline_patch_entropy
pre_gelu,6.0,blocks.7/pre_gelu,0.0018404794279500084,84.112,97.288,85.026,97.516,45,False,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.8/pre_gelu,0.002884706163805251,84.112,97.288,85.026,97.516,45,False,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.9/pre_gelu,0.002592880125174655,84.112,97.288,85.026,97.516,45,False,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.0/pre_gelu,0.20922871435756613,85.042,97.534,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.1/pre_gelu,0.03766011308787553,85.042,97.534,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.10/pre_gelu,0.0042876033544219,85.042,97.534,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.11/pre_gelu,0.02036357702374163,85.042,97.534,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.2/pre_gelu,0.0019504197525120129,85.042,97.534,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.3/pre_gelu,0.004992021750809108,85.042,97.534,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.4/pre_gelu,0.007416090520192295,85.042,97.534,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.5/pre_gelu,0.004246039389096864,85.042,97.534,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.6/pre_gelu,0.002966500259764657,85.042,97.534,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.7/pre_gelu,0.0018404794279500084,85.042,97.534,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.8/pre_gelu,0.002884706163805251,85.042,97.534,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.9/pre_gelu,0.002592880125174655,85.042,97.534,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
post_layernorm_1,3.0,blocks.0/post_layernorm_1,0.9737415180858368,75.844,93.116,85.026,97.516,45,False,per_channel,outlier,[],[],[],[]
post_layernorm_1,3.0,blocks.1/post_layernorm_1,1.8902437039710525,75.844,93.116,85.026,97.516,45,False,per_channel,outlier,[],[],[],[]
post_layernorm_1,3.0,blocks.10/post_layernorm_1,0.3011284366874096,75.844,93.116,85.026,97.516,45,False,per_channel,outlier,[],[],[],[]
post_layernorm_1,3.0,blocks.11/post_layernorm_1,0.2637790480885855,75.844,93.116,85.026,97.516,45,False,per_channel,outlier,[],[],[],[]
post_layernorm_1,3.0,blocks.2/post_layernorm_1,1.4162335940219861,75.844,93.116,85.026,97.516,45,False,per_channel,outlier,[],[],[],[]
post_layernorm_1,3.0,blocks.3/post_layernorm_1,0.9461082146524469,75.844,93.116,85.026,97.516,45,False,per_channel,outlier,[],[],[],[]
post_layernorm_1,3.0,blocks.4/post_layernorm_1,0.7191213082445933,75.844,93.116,85.026,97.516,45,False,per_channel,outlier,[],[],[],[]
post_layernorm_1,3.0,blocks.5/post_layernorm_1,0.6121990121448474,75.844,93.116,85.026,97.516,45,False,per_channel,outlier,[],[],[],[]
post_layernorm_1,3.0,blocks.6/post_layernorm_1,0.5052920744713881,75.844,93.116,85.026,97.516,45,False,per_channel,outlier,[],[],[],[]
post_layernorm_1,3.0,blocks.7/post_layernorm_1,0.43684735303492195,75.844,93.116,85.026,97.516,45,False,per_channel,outlier,[],[],[],[]
post_layernorm_1,3.0,blocks.8/post_layernorm_1,0.3652758741527415,75.844,93.116,85.026,97.516,45,False,per_channel,outlier,[],[],[],[]
post_layernorm_1,3.0,blocks.9/post_layernorm_1,0.3327106776804475,75.844,93.116,85.026,97.516,45,False,per_channel,outlier,[],[],[],[]
post_layernorm_1,3.0,blocks.0/post_layernorm_1,0.9737415180858368,84.934,97.478,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
post_layernorm_1,3.0,blocks.1/post_layernorm_1,1.8902437039710525,84.934,97.478,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
post_layernorm_1,3.0,blocks.10/post_layernorm_1,0.3011284366874096,84.934,97.478,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
post_layernorm_1,3.0,blocks.11/post_layernorm_1,0.2637790480885855,84.934,97.478,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
post_layernorm_1,3.0,blocks.2/post_layernorm_1,1.4162335940219861,84.934,97.478,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
post_layernorm_1,3.0,blocks.3/post_layernorm_1,0.9461082146524469,84.934,97.478,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
